,Name,_id,MetCat key,Type,Class,(A)chondrite,Group,Petrologic type,Recovered weight,Year,Month,Day,Hour,Locality,Country,Decimal latitude,Decimal longitude,Verbatim latitude,Verbatim longitude,Present in NHM collection,NHM specimen data
19568,Success,46043,S4180,Stone,Ordinary,Chondrite,L,6,3.5 kg,1924,April,18,0300-0400,Arkansas,USA,36.4833,-90.6667,36° 29' N,90° 40' W,,
19569,Suchy Dul,46044,S4190,Stone,Ordinary,Chondrite,L,6,815.3 g,1969,September,16,715,Bohemia,Czech Republic,50.5381,16.2633,50° 32' 17'' N,16° 15' 48'' E,,
19571,Suizhou,46046,S4205,Stone,Ordinary,Chondrite,L,6,70 kg,1986,April,15,1850,Hubei,China,31.7167,113.3833,31° 43' N,113° 23' E,,
19574,Sultanpur,46049,S4230,Stone,Ordinary,Chondrite,L/LL,6,1710.5 g,1916,July,10,1100,Uttar Pradesh,India,25.9333,84.2833,25° 56' N,84° 17' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS4230%7CscientificName%3ASultanpur
19579,Sungach,46054,S4280,Stone,Ordinary,Chondrite,H,5,637 g,1935,April,10,730,Maritime Territory,Russia,44.8667,133.1667,44° 52' N,133° 10' E,,
19594,Supuhee,46069,S4300,Stone,Ordinary,Chondrite,H,6,7 kg,1865,January,19,1200,Uttar Pradesh,India,26.7167,84.2167,26° 43' N,84° 13' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS4300%7CscientificName%3ASupuhee
19607,Sylacauga,46082,S4530,Stone,Ordinary,Chondrite,H,4,5.6 kg,1954,November,30,1300,Alabama,USA,33.2333,-86.2833,33° 14' N,86° 17' W,,
19608,Salem,46083,S455,Stone,Ordinary,Chondrite,L,6,61 g,1981,May,11,115,Oregon,USA,44.95,-123.0167,44° 57' N,123° 1' W,,
19615,Salzwedel,46090,S575,Stone,Ordinary,Chondrite,LL,6,43 g,1985,November,14,1917,Sachsen-Anhalt,Germany,52.8,11.2,52° 48' N,11° 12' E,,
19616,Samelia,46091,S580,Iron,Medium octahedrite,,IIIAB,Om,2461.5 g,1921,May,20,1730,Rajasthan,India,25.6667,74.8667,25° 40' N,74° 52' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AS580%7CscientificName%3ASamelia
19886,San Juan Capistrano,46361,S930,Stone,Ordinary,Chondrite,H,6,56 g,1973,March,15,0000-0400,California,USA,33.4847,-117.6625,33° 29' 05'' N,117° 39' 45'' W,,
19889,Tadjera,46364,T100,Stone,Ordinary,Chondrite,L,5,9 kg,1867,June,9,2230,Constantine,Algeria,36.1833,5.4167,36° 11' N,5° 25' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT100%7CscientificName%3ATadjera
19894,Tieschitz,46369,T1040,Stone,Ordinary,Chondrite,H/L,3,28 kg,1878,July,15,1345,Moravia,Czech Republic,49.6,17.1167,49° 36' N,17° 7' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT1040%7CscientificName%3ATieschitz
19902,Tilden,46377,T1050,Stone,Ordinary,Chondrite,L,6,74.9 kg,1927,July,13,1300,Illinois,USA,38.2,-89.6833,38° 12' N,89° 41' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT1050%7CscientificName%3ATilden
19903,Tillaberi,46378,T1060,Stone,Ordinary,Chondrite,L,6,3 kg,1970,April,,in the morning,Niamey,Niger,14.25,1.5333,14° 15' N,1° 32' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT1060%7CscientificName%3ATillaberi
19912,Tagish Lake,46387,T113,Stone,Carbonaceous,Chondrite,C,2,5 - 10 kg,2000,January,18,0843 (local time),British Columbia,Canada,59.7044,-134.2014,59° 42' 16'' N,134° 12' 4.9'' W,,
19915,Tahara,46390,T115,Stone,Ordinary,Chondrite,H,5,1 kg,1991,March,26,11:00 to 12.00 noon,Honshu,Japan,34.72,137.305,34° 43' 12'' N,137° 18' 18'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT115%7CscientificName%3ATahara
19916,Tirupati,46391,T1170,Stone,Ordinary,Chondrite,H,6,230 g,1934,March,20,1830,Andhra Pradesh,India,13.6333,79.4167,13° 38' N,79° 25' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT1170%7CscientificName%3ATirupati
19920,Tjabe,46395,T1210,Stone,Ordinary,Chondrite,H,6,20 kg,1869,September,19,2100,Java,Indonesia,-7.0833,111.5333,7° 5' S,111° 32' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT1210%7CscientificName%3ATjabe
19922,Tjerebon,46397,T1220,Stone,Ordinary,Chondrite,L,5,16.5 kg,1922,July,10,2230,Java,Indonesia,-6.6667,106.5833,6° 40' S,106° 35' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT1220%7CscientificName%3ATjerebon
19930,Tomakovka,46405,T1340,Stone,Ordinary,Chondrite,LL,6,,1905,January,17,2130,Dnipropetrovsk Provi,Ukraine,47.85,34.7667,47° 51' N,34° 46' E,,
19931,Tomatlan,46406,T1360,Stone,Ordinary,Chondrite,H,6,,1879,September,17,1630,Jalisco,Mexico,20.1667,-105.2167,20° 10' N,105° 13' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT1360%7CscientificName%3ATomatlan
19934,Tomita,46409,T1410,Stone,Ordinary,Chondrite,L,,600 g,1916,April,13,,Honshu,Japan,34.5,133.75,34° 30' N,133° 45' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT1410%7CscientificName%3ATomita
19935,Tomiya,46410,T1412,Stone,Ordinary,Chondrite,H,4,27.5 g,1984,August,22,1335,Honshu,Japan,38.3667,140.8656,38° 22' N,140° 51' 56'' E,,
19937,Tonk,46412,T1450,Stone,Carbonaceous,Chondrite,CI,1,7.7 g,1911,January,22,1555,Rajasthan,India,24.65,76.8667,24° 39' N,76° 52' E,,
19940,Torino,46415,T1487,Stone,Ordinary,Chondrite,H,6,977 g,1988,May,18,1330,Piemonte,Italy,45.0667,7.6667,45° 4' N,7° 40' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT1487%7CscientificName%3ATorino
19944,Torrington,46419,T1520,Stone,Ordinary,Chondrite,H,6,259.1 g,1944,September,23,1230,Wyoming,USA,42.0667,-104.1667,42° 4' N,104° 10' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT1520%7CscientificName%3ATorrington
19950,Tourinnes-la-Grosse,46425,T1600,Stone,Ordinary,Chondrite,L,6,14.5 kg,1863,December,7,1130,,Belgium,50.7833,4.7667,50° 47' N,4° 46' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT1600%7CscientificName%3ATourinnes-la-Grosse
19954,Trebbin,46429,T1655,Stone,Ordinary,Chondrite,LL,6,1250 g,1988,March,1,1330,Brandenburg,Germany,53.2167,13.1667,53° 13' N,13° 10' E,,
19958,Trenzano,46433,T1700,Stone,Ordinary,Chondrite,H,6,,1856,November,12,1600,Lombardy,Italy,45.4667,10.0,45° 28' N,10° 0' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT1700%7CscientificName%3ATrenzano
19962,Treysa,46437,T1740,Iron,Medium octahedrite,,IIIAB,Om,63 kg,1916,April,3,1530,Hessen,Germany,50.9167,9.1833,50° 55' N,9° 11' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT1740%7CscientificName%3ATreysa
19965,Tromøy,46440,T1840,Stone,Ordinary,Chondrite,H,,357.4 g,1950,April,9,1500,,Norway,58.4733,8.8667,58° 28' 24'' N,8° 52' E,,
19966,Troup,46441,T1870,Stone,Ordinary,Chondrite,L,6,1 kg,1917,April,26,morning,Texas,USA,32.1667,-95.1,32° 10' N,95° 6' W,,
19969,Trysil,46444,T1910,Stone,Ordinary,Chondrite,L/LL,6,640 g,1927,June,21,600,,Norway,61.3,12.3,61° 18' N,12° 18' E,,
19971,Tsukuba,46446,T1987,Stone,Ordinary,Chondrite,H,5-6,800 g,1996,January,7,16:20 (local time),Honshu,Japan,36.0633,140.145,36° 3' 48'' N,140° 8' 42'' E,,
19972,Tuan Tuc,46447,T1990,Stone,Ordinary,Chondrite,L,6,13.1 kg,1921,June,30,1500,,Vietnam,9.6667,105.6667,9° 40' N,105° 40' E,,
19974,Takenouchi,46449,T200,Stone,Ordinary,Chondrite,H,6,0.75 kg,1880,February,18,530,Honshu,Japan,35.3833,134.9,35° 23' N,134° 54' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT200%7CscientificName%3ATakenouchi
19976,Tugalin-Bulen,46451,T2050,Stone,Ordinary,Chondrite,H,6,10 kg,1967,February,13,,Ovor-Hangay aymag,Mongolia,45.0,103.0,45° N,103° E,,
19986,Tulung Dzong,46461,T2120,Stone,,,,,,1944,March,26,1015,,Tibet,30.0,90.75,30° N,90° 45' E,,
19997,Tunguska,46472,T2130,,,,,,,1908,June,30,16,Evenki,Russia,60.9,101.95,60° 54' N,101° 57' E,,
19998,Talampaya,46473,T215,Stone,Eucrite,Achondrite,EUC,,1421 g,1995,,,,,Argentina,,,,,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT215%7CscientificName%3ATalampaya
20003,Tuxtuac,46478,T2245,Stone,Ordinary,Chondrite,LL,5,29.25 kg,1975,October,16,1820,Zacatecas,Mexico,21.6667,-103.3667,21° 40' N,103° 22' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT2245%7CscientificName%3ATuxtuac
20011,Tysnes Island,46486,T2310,Stone,Ordinary,Chondrite,H,4,19.86 kg,1884,May,20,2030,,Norway,60.0,5.6167,60° 0' N,5° 37' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT2310%7CscientificName%3ATysnes%20Island
20012,Tyumen,46487,T2320,Iron,,,,,750 g,1903,April,20,,Tyumen Province,Russia,57.1667,65.5333,57° 10' N,65° 32' E,,
20014,Tambakwatu,46489,T246,Stone,Ordinary,Chondrite,L,6,10.5 kg,1975,February,14,,Java,Indonesia,-7.75,112.7667,7° 45' S,112° 46' E,,
20019,Tané,46494,T290,Stone,Ordinary,Chondrite,L,5,905 g,1918,January,25,1428,Honshu,Japan,35.4333,136.2333,35° 26' N,136° 14' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT290%7CscientificName%3ATan%C3%A9
20073,Taonan,46548,T378,Stone,Ordinary,Chondrite,L,5,3.85 kg,1965,February,28,1200,Jilin,China,45.4,122.9,45° 24' N,122° 54' E,,
20081,Tatahouine,46556,T500,Stone,Diogenite,Achondrite,DIO,,12 kg,1931,June,27,130,,Tunisia,32.95,10.4167,32° 57' N,10° 25' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT500%7CscientificName%3ATatahouine
20082,Tathlith,46557,T520,Stone,Ordinary,Chondrite,L,6,2 kg,1967,October,5,0515-0530,,Saudi Arabia,19.3833,43.7333,19° 23' N,43° 44' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT520%7CscientificName%3ATathlith
20084,Tauk,46559,T540,Stone,Ordinary,Chondrite,L,6,6-7 kg,1929,spring,,,,Iraq,35.1333,44.45,35° 8' N,44° 27' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT540%7CscientificName%3ATauk
20085,Tauti,46560,T550,Stone,Ordinary,Chondrite,L,6,21 kg,1937,July or August,,,Oradea,Romania,46.7167,23.5,46° 43' N,23° 30' E,,
20094,Tenham,46569,T690,Stone,Ordinary,Chondrite,L,6,160 kg,1879,in the spring,,at night,Queensland,Australia,-25.7333,142.95,25° 44' S,142° 57' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT690%7CscientificName%3ATenham
20095,Tennasilm,46570,T720,Stone,Ordinary,Chondrite,L,4,28.5 kg,1872,June,28,1200,Põlva Province,Estonia,58.0333,26.95,58° 2' N,26° 57' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT720%7CscientificName%3ATennasilm
20106,Thal,46581,T880,Stone,Ordinary,Chondrite,H,6,,1950,June,,,Northwest Frontier,Pakistan,33.4,70.6,33° 24' N,70° 36' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AT880%7CscientificName%3AThal
20161,Tianzhang,46636,T997,Stone,Ordinary,Chondrite,H,5,2232 g,1986,January,28,1700,Anhui,China,32.9467,118.99,32° 56' 48'' N,118° 59' 24'' E,,
20171,Ufana,46646,U100,Stone,Enstatite,Chondrite,EL,6,189.2 g,1957,August,5,1820,,Tanzania,-4.2667,35.35,4° 16' S,35° 21' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AU100%7CscientificName%3AUfana
20173,Ulmiz,46648,U140,Stone,Ordinary,Chondrite,L,,76.5 g,1926,December,25,650,Fribourg,Switzerland,46.9333,7.2167,46° 56' N,7° 13' E,,
20178,Uberaba,46653,U20,Stone,Ordinary,Chondrite,H,5,30 - 40 kg,1903,June,29,1000,Minas Gerais,Brazil,-19.8167,-48.7833,19° 49' S,48° 47' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AU20%7CscientificName%3AUberaba
20182,Umm Ruaba,46657,U240,Stone,Ordinary,Chondrite,L,5,1.7 kg,1966,December,27,1300-1400,,Sudan,13.4667,31.2167,13° 28' N,31° 13' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AU240%7CscientificName%3AUmm%20Ruaba
20184,Undulung,46659,U265,Stone,Ordinary,Chondrite,L,4,113.4 g,1986,September,11,,Yakutiya,Russia,66.1389,124.7667,66° 8' 20'' N,124° 46' 0'' E,,
20186,Unkoku,46661,U290,Stone,,Chondrite,,,1 kg,1924,September,7,,,South Korea,34.8,127.0,34° 48' N,127° 0' E,,
20187,Ucera,46662,U30,Stone,Ordinary,Chondrite,H,5,4.95 kg,1970,January,16,1900,,Venezuela,11.05,-69.85,11° 3' N,69° 51' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AU30%7CscientificName%3AUcera
20189,Uchkuduk,46664,U32,Stone,Ordinary,Chondrite,L,6,1 kg,1989,June,21,1800,Bukharskaya region,Uzbekistan,41.7667,62.5167,41° 46' N,62° 31' E,,
20192,Urasaki,46667,U340,,,,,,1500 g,1926,April,16,,Honshu,Japan,34.4833,133.2833,34° 29' N,133° 17' E,,
20193,Udaipur,46668,U36,Stone,Ordinary,Chondrite,H,3,1.2 kg,1976,,,,Rajasthan,India,,,,,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AU36%7CscientificName%3AUdaipur
20197,Usti nad Orlici,46672,U390,Stone,Ordinary,Chondrite,L,6,1269 g,1963,June,12,1358,Bohemia,Czech Republic,49.975,16.375,49° 58' 30'' N,16° 22' 30'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AU390%7CscientificName%3AUsti%20nad%20Orlici
20199,Udei Station,46674,U40,Iron,Medium octahedrite,,IAB,Om,102.5 kg,1927,in the spring,,,,Nigeria,7.95,8.0833,7° 57' N,8° 5' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AU40%7CscientificName%3AUdei%20Station
20202,Utrecht,46677,U440,Stone,Ordinary,Chondrite,L,6,9.7 kg,1843,June,2,2000,Utrecht,Netherlands,52.1167,5.1833,52° 7' N,5° 11' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AU440%7CscientificName%3AUtrecht
20203,Utzenstorf,46678,U450,Stone,Ordinary,Chondrite,H,5,3422 g,1928,August,16,1900,,Switzerland,47.1167,7.55,47° 7' N,7° 33' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AU450%7CscientificName%3AUtzenstorf
20207,Uzcudun,46682,U490,Stone,Ordinary,Chondrite,L,,20 kg,1948,April,16,1600,Chubut,Argentina,-44.1167,-66.15,44° 7' S,66° 9' W,,
20208,Uden,46683,U50,Stone,Ordinary,Chondrite,LL,7,710 g,1840,June,12,1030,Noord-Brabant,Netherlands,51.65,5.6167,51° 39' N,5° 37' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AU50%7CscientificName%3AUden
20209,Udipi,46684,U70,Stone,Ordinary,Chondrite,H,5,3.6 kg,1866,April,,1000,Karnataka,India,13.4833,74.7833,13° 29' N,74° 47' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AU70%7CscientificName%3AUdipi
20213,Vouillé,46688,V1050,Stone,Ordinary,Chondrite,L,6,20 kg,1831,May,13,2300,Vienne,France,46.6333,0.1667,46° 38' N,0° 10' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AV1050%7CscientificName%3AVouill%C3%A9
20220,Vavilovka,46695,V280,Stone,Ordinary,Chondrite,LL,6,16 kg,1876,June,19,1400,Kherson Province,Ukraine,46.15,32.8333,46° 9' N,32° 50' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AV280%7CscientificName%3AVavilovka
20225,Vengerovo,46700,V400,Stone,Ordinary,Chondrite,H,5,10.8 kg,1950,October,11,1849,Novosibirsk Province,Russia,56.1333,77.2667,56° 8' N,77° 16' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AV400%7CscientificName%3AVengerovo
20229,Veramin,46704,V430,Stony-iron,Mesosiderite,,MES,,54 kg,1880,April,18,,Tehran,Iran,35.3333,51.6333,35° 20' N,51° 38' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AV430%7CscientificName%3AVeramin
20231,Valdavur,46706,V50,Stone,Ordinary,Chondrite,H,6,2799 g,1944,October,30,1700-1710,Tamil Nadu,India,11.9833,79.75,11° 59' N,79° 45' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AV50%7CscientificName%3AValdavur
20233,Verkhne Tschirskaia,46708,V510,Stone,Ordinary,Chondrite,H,5,8 kg,1843,November,12,1200,Volgograd Province,Russia,48.4167,43.2,48° 25' N,43° 12' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AV510%7CscientificName%3AVerkhne%20Tschirskaia
20236,Vernon County,46711,V530,Stone,Ordinary,Chondrite,H,6,1500 g,1865,March,26,900,Wisconsin,USA,43.5,-91.1667,43° 30' N,91° 10' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AV530%7CscientificName%3AVernon%20County
20237,Vetluga,46712,V570,Stone,Eucrite,Achondrite,EUC,,750 g,1949,February,27,day time,Nizhiy Province,Russia,57.8,45.8,57° 48' N,45° 48' E,,
20241,Vigarano,46716,V670,Stone,Carbonaceous,Chondrite,CV,3,16 kg,1910,January,22,2130,Emilia-Romagna,Italy,44.85,11.4,44° 51' N,11° 24' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AV670%7CscientificName%3AVigarano
20242,Valdinizza,46717,V70,Stone,Ordinary,Chondrite,L,6,1004 g,1903,July,12,1000,Lombardy,Italy,44.8667,9.15,44° 52' N,9° 9' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AV70%7CscientificName%3AValdinizza
20249,Villarrica,46724,V860,Stone,,,,,,1925,July,20,1900,,Paraguay,-25.8333,-56.5,25° 50' S,56° 30' W,,
20251,Vilna,46726,V910,Stone,Ordinary,Chondrite,L,5,144 mg,1967,February,5,1855,Alberta,Canada,54.225,-111.6917,54° 13' 30'' N,111° 41' 30'' W,,
20254,Virba,46729,V940,Stone,Ordinary,Chondrite,L,6,3.6 kg,1873,June,1,,,Bulgaria,43.5333,22.6333,43° 32' N,22° 38' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AV940%7CscientificName%3AVirba
20257,Vishnupur,46732,V960,Stone,Ordinary,Chondrite,LL,6,2437 g,1906,December,15,930,West Bengal,India,23.1,87.4333,23° 6' N,87° 26' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AV960%7CscientificName%3AVishnupur
20258,Vissannapeta,46733,V966,Stone,Eucrite,Achondrite,EUC,,1303.8 g,1997,December,13,1530 (local time),Andhra Pradesh,India,16.8333,80.75,16° 50' N,80° 45' E,,
20259,Valera,46734,V97,Stone,Ordinary,Chondrite,L,5,50 kg,1972,October,15,,Trujillo,Venezuela,9.3167,-70.6283,9° 19' 00'' N,70° 37' 42'' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AV97%7CscientificName%3AValera
20260,Visuni,46735,V970,Stone,Ordinary,Chondrite,H,6,594 g,1915,January,19,1200,Sind,Pakistan,25.45,70.0,25° 27' N,70° 0' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AV970%7CscientificName%3AVisuni
20275,Wiluna,46750,W1110,Stone,Ordinary,Chondrite,H,5,> 150 kg,1967,September,2,2246,Western Australia,Australia,-26.5928,120.3283,26° 35' 34'' S,120° 19' 42'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AW1110%7CscientificName%3AWiluna
20316,Witklip Farm,46791,W1280,Stone,Ordinary,Chondrite,H,5,22 g,1918,May,26,940,Transvaal,South Africa,-26.0,30.0,26° S,30° E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AW1280%7CscientificName%3AWitklip%20Farm
20317,Witsand Farm,46792,W1290,Stone,Ordinary,Chondrite,LL,4,,1932,December,1,1700,,Namibia,-28.6667,18.9167,28° 40' S,18° 55' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AW1290%7CscientificName%3AWitsand%20Farm
20319,Wittekrantz,46794,W1300,Stone,Ordinary,Chondrite,L,5,2.1 kg,1880,December,9,800,Cape Province,South Africa,-32.5,23.0,32° 30' S,23° E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AW1300%7CscientificName%3AWittekrantz
20320,Wolamo,46795,W1350,Stone,,Chondrite,,,166.4 g,1964,August,,,,Ethiopia,9.0,39.0,9° N,39° E,,
20330,Woolgorong,46805,W1450,Stone,Ordinary,Chondrite,L,6,36.3 kg,1960,December,20,1400,Western Australia,Australia,-27.75,115.8333,27° 45' S,115° 50' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AW1450%7CscientificName%3AWoolgorong
20333,Worden,46808,W1465,Stone,Ordinary,Chondrite,L,5,1551 g,1997,September,1,1700-1715 (local time),Michigan,USA,42.3847,-83.6115,42° 23.08' N,83° 36.69' W,,
20336,Wuan,46811,W1485,Stone,Ordinary,Chondrite,H,6,50 kg,1986,July,31,1100,Hebei,China,36.75,114.25,36° 45' N,114° 15' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AW1485%7CscientificName%3AWuan
